,mae,mse,r2,cv_mae
RandomForest,12.977576171353379,425.5897030820828,0.6590755127253585,13.525906309864842
GradientBoosting,13.260057566066392,457.59543063030065,0.633436884311166,13.53974646989713
XGBoost,13.274817471649497,454.99520755870185,0.635519828778724,13.499539723789377
ElasticNet,22.121293093340405,1018.1027558355051,0.18443477952478748,22.208881150569574
LSTM_1,20.135838768273594,1039.9633420187106,0.16692305618641756,20.135838768273594
LSTM_2,24.79239704030752,1064.2364631130488,0.14747873856380234,24.79239704030752
